MSE,RMSE,LogRMSE,AbsRel,SqureREL,SSIM,A1,A2,A3,time
0.0546136349439621,0.23369560317635865,0.10628103464841843,0.07080212980508804,0.023713381960988045,0.0,0.9536946983941732,0.9946886684389116,0.9976442110268214,0.23558640480041504
0.02300216071307659,0.15166463237378908,0.11514817923307419,0.036348097026348114,0.013243447989225388,0.0,0.967117196983129,0.976466496638071,0.9841109641166923,0.24980688095092773
0.017322516068816185,0.1316150297983334,0.0778697058558464,0.04172910749912262,0.011463185772299767,0.0,0.975825957986513,0.993006993006993,0.9984406079549786,0.02315688133239746
0.0182552058249712,0.13511182710988406,0.057620082050561905,0.037742745131254196,0.007262707222253084,0.0,0.9900916105647969,0.9995453724520617,0.9999750889014828,0.02222919464111328
0.02788344770669937,0.16698337553990028,0.08226832747459412,0.052275266498327255,0.012852285988628864,0.0,0.9719810008156216,0.9999760111308353,1.0,0.024599790573120117
0.004531055688858032,0.06731311676677906,0.043712060898542404,0.029062818735837936,0.002804362680763006,0.0,0.9942713451644604,0.9998901670616799,1.0,0.02219843864440918
0.004358816891908646,0.06602133664133623,0.03804530203342438,0.03102445974946022,0.0024449299089610577,0.0,1.0,1.0,1.0,0.02411174774169922
0.010492106899619102,0.10243098603264103,0.05092020332813263,0.03955601900815964,0.005313994828611612,0.0,0.9995124273660179,1.0,1.0,0.022145748138427734
0.017547108232975006,0.13246549827398457,0.07630689442157745,0.03536823391914368,0.008910425938665867,0.0,0.9625558746679911,1.0,1.0,0.021897077560424805
0.06421477347612381,0.2534063406391478,0.14270535111427307,0.10106747597455978,0.028767680749297142,0.0,0.9280539098186423,0.9970602867351093,0.9977205915607616,0.021924972534179688
0.007118368986994028,0.08437042720642125,0.045042309910058975,0.028932800516486168,0.004052723292261362,0.0,0.9970072233744657,0.9989107173311474,0.9997469343294585,0.021625280380249023
0.00809118989855051,0.08995104167573886,0.04023834690451622,0.02788548730313778,0.0034877629950642586,0.0,0.998886336743927,0.9999303960464955,1.0,0.022029876708984375
0.005841697100549936,0.07643099567943581,0.049434561282396317,0.03212627023458481,0.003500546794384718,0.0,0.996878362625538,0.9999943956241033,1.0,0.02163100242614746
0.0019526800606399775,0.04418913962321486,0.03584049642086029,0.023222636431455612,0.001562511082738638,0.0,0.9977557448404768,0.9999482592470427,1.0,0.021851301193237305
0.07036092877388,0.2652563453979565,0.06138315424323082,0.03483763709664345,0.014097929932177067,0.0,0.9896707080326728,0.997466515268061,0.9990354443671172,0.021639108657836914
0.0171390138566494,0.13091605652726254,0.0721372738480568,0.03165411204099655,0.007782259024679661,0.0,0.9753413447043114,0.9928931386484042,0.9982717405349528,0.02187967300415039
0.050716329365968704,0.2252028626948794,0.06576739251613617,0.04617713764309883,0.013330047950148582,0.0,0.9922172070268813,0.9987497060662197,0.9998852941345155,0.02181100845336914
0.015283309854567051,0.12362568444529257,0.04452471435070038,0.030120834708213806,0.005107684526592493,0.0,0.9949471798519455,0.9999578492584104,1.0,0.02187204360961914
0.05035892128944397,0.22440793499661274,0.0796366035938263,0.06336136907339096,0.018914412707090378,0.0,0.9840065350746499,1.0,1.0,0.021928787231445312
0.0384925939142704,0.19619529534183638,0.06295882910490036,0.04798589646816254,0.011872103437781334,0.0,0.9963982816911776,0.9991114008843928,0.9999842260512022,0.021837711334228516
0.003970099613070488,0.06300872648348392,0.04955410584807396,0.03234915807843208,0.003271089866757393,0.0,0.9920910323932994,0.9986495452490415,1.0,0.021724224090576172
0.0072145015001297,0.08493822166804353,0.04706815630197525,0.029244719073176384,0.0036887009628117085,0.0,0.9968480143056011,0.9999943411387893,1.0,0.02193903923034668
0.018180925399065018,0.13483666192495652,0.06382806599140167,0.03442500904202461,0.0071226805448532104,0.0,0.9874636758807849,0.9973882658084968,0.9986731189509834,0.021636962890625
0.006323548965156078,0.07952074550176248,0.04992856830358505,0.03421388193964958,0.003546499414369464,0.0,0.9984374556095343,0.9998579505099576,1.0,0.02202010154724121
0.011084256693720818,0.10528179659238732,0.04323353245854378,0.036009639501571655,0.004492905922234058,0.0,0.9996601111697928,0.9999320222339586,1.0,0.021645545959472656
0.014098351821303368,0.1187364805832789,0.047935765236616135,0.03599267825484276,0.0052866702899336815,0.0,0.9996553859408233,1.0,1.0,0.021859169006347656
0.1920081377029419,0.4381873317462999,0.18098556995391846,0.11055593937635422,0.061510778963565826,0.0,0.8722904215797125,0.9390728476821192,0.9873364561460184,0.021653175354003906
0.02419896237552166,0.15556015677390422,0.04801417142152786,0.032409653067588806,0.007139886729419231,0.0,0.9958983701276303,1.0,1.0,0.021956205368041992
0.005894320551306009,0.07677447851536348,0.04620566964149475,0.027024198323488235,0.003228431101888418,0.0,0.9908546929459301,0.9995476183132332,1.0,0.021609783172607422
0.012957657687366009,0.1138317077415867,0.05280962586402893,0.03195425122976303,0.00563753442838788,0.0,0.9923787572981199,0.9992741673617257,0.9997325879753727,0.021848440170288086
0.03428470343351364,0.18516129032147524,0.07453557103872299,0.045709773898124695,0.011544538661837578,0.0,0.9852626140430465,0.9958919300367962,1.0,0.021688222885131836
0.019006794318556786,0.13786513090175045,0.0926622748374939,0.0613785982131958,0.013470599427819252,0.0,0.9734708668318417,0.9899715157337649,0.9983370132533302,0.02193164825439453
0.036276087164878845,0.19046282357688296,0.07935988903045654,0.058575935661792755,0.01314529962837696,0.0,0.9885310933539447,0.9986701069597735,0.9993464200870682,0.021671533584594727
0.001648571458645165,0.040602604086993795,0.028492342680692673,0.019290324300527573,0.0011082709534093738,0.0,0.999187728451373,1.0,1.0,0.02215123176574707
